,station_id,name,rental_methods,lat,eightd_station_services,has_kiosk,short_name,external_id,capacity,region_id,electric_bike_surcharge_waiver,legacy_id,lon,station_type,eightd_has_key_dispenser,rental_uris.ios,rental_uris.android,timestamp
21,25,14th & Rhode Island Ave NW,"['KEY', 'CREDITCARD']",38.9086,[],True,31203,08247a21-1f3f-11e7-bf6b-3863bb334450,23,42,False,25,-77.0323,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
22,26,20th & E St NW,"['KEY', 'CREDITCARD']",38.8963,[],True,31204,08247aa4-1f3f-11e7-bf6b-3863bb334450,15,42,False,26,-77.045,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
23,27,21st & I St NW,"['KEY', 'CREDITCARD']",38.90071062547463,[],True,31205,08247b29-1f3f-11e7-bf6b-3863bb334450,35,42,False,27,-77.04644858837128,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
24,28,Georgia & New Hampshire Ave NW,"['KEY', 'CREDITCARD']",38.9366839345886,[],True,31400,08247baa-1f3f-11e7-bf6b-3863bb334450,19,42,False,28,-77.02418088912964,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
25,29,14th St & Spring Rd NW,"['KEY', 'CREDITCARD']",38.9375,[],True,31401,08247c29-1f3f-11e7-bf6b-3863bb334450,19,42,False,29,-77.0328,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
26,30,John McCormack Dr & Michigan Ave NE,"['KEY', 'CREDITCARD']",38.9346,[],True,31502,08247cac-1f3f-11e7-bf6b-3863bb334450,11,42,False,30,-76.9955,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
27,31,5th & K St NW,"['KEY', 'CREDITCARD']",38.90304,[],True,31600,08247d46-1f3f-11e7-bf6b-3863bb334450,19,42,False,31,-77.019027,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
28,32,19th & East Capitol St SE,"['KEY', 'CREDITCARD']",38.8896,[],True,31601,08247dd0-1f3f-11e7-bf6b-3863bb334450,15,42,False,32,-76.9769,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
29,33,Park Rd & Holmead Pl NW,"['KEY', 'CREDITCARD']",38.9308,[],True,31602,08247e59-1f3f-11e7-bf6b-3863bb334450,35,42,False,33,-77.0315,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
30,34,Good Hope & Naylor Rd SE,"['KEY', 'CREDITCARD']",38.861663,[],True,31700,08247ed8-1f3f-11e7-bf6b-3863bb334450,19,42,False,34,-76.969184,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
